Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time,Ranks and Genre,duration_mins,genres_list,primary_genre,text_features
The Girl on the Train,Paula Hawkins,4.0,70122.0,888,"Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She's even started to feel like she knows the people who live in one of the houses. Jess and Jason, she calls them. Their life - as she sees it - is perfect. If only Rachel could be that happy.",10 hours and 57 minutes,",#98 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Psychological Thrillers,#2 in Crime Thrillers,#87 in Crime, Thriller & Mystery (Books)",657,"['Psychological Thrillers', 'Crime Thrillers', 'Crime']",Psychological Thrillers,"Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She's even started to feel like she knows the people who live in one of the houses. Jess and Jason, she calls them. Their life - as she sees it - is perfect. If only Rachel could be that happy. Psychological Thrillers Paula Hawkins"
The Fault in Our Stars,John Green,4.5,43869.0,670,"Audie Award Nominee, Best Teens Category, 2013",7 hours and 14 minutes,",#299 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Contemporary Romance for Teens,#1 in Fiction on Illness & Health Problems for Teens,#1 in Fiction on Death & Dying for Teens",434,"['Contemporary Romance for Teens', 'Fiction on Illness & Health Problems for Teens', 'Fiction on Death & Dying for Teens']",Contemporary Romance for Teens,"Audie Award Nominee, Best Teens Category, 2013 Contemporary Romance for Teens John Green"
The Nightingale,Kristin Hannah,4.8,40958.0,323,"Two sisters. One must be brave. One should be afraid. Bravery, courage, fear, and love in a time of war. Despite their differences sisters Viann and Isabelle have always been close.",17 hours and 19 minutes,",#430 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in World War II Historical Fiction,#2 in War & Military Fiction,#7 in Women's Fiction",1039,"['World War II Historical Fiction', 'War & Military Fiction', ""Women's Fiction""]",World War II Historical Fiction,"Two sisters. One must be brave. One should be afraid. Bravery, courage, fear, and love in a time of war. Despite their differences sisters Viann and Isabelle have always been close. World War II Historical Fiction Kristin Hannah"
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy,E. L. James,3.8,38310.0,1093,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping",-1,-1,0,[],Other,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping Other E. L. James"
The Martian,Andy Weir,4.7,33293.0,1171,"A brand-new production of Andy Weir’s modern sci-fi classic, narrated by the incomparable Wil Wheaton, and featuring bonus content from the writings of Mark Watney.",10 hours and 59 minutes,",#1,032 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Hard Science Fiction,#6 in Adventure Science Fiction,#21 in Suspense",659,"['Hard Science Fiction', 'Adventure Science Fiction', 'Suspense']",Hard Science Fiction,"A brand-new production of Andy Weir’s modern sci-fi classic, narrated by the incomparable Wil Wheaton, and featuring bonus content from the writings of Mark Watney. Hard Science Fiction Andy Weir"
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,28237.0,10378,"By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",4 hours,",#10 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Metaphysical & Visionary Fiction,#1 in Literary Fiction,#6 in Crime, Thriller & Mystery (Books)",240,"['Metaphysical & Visionary Fiction', 'Literary Fiction', 'Crime']",Metaphysical & Visionary Fiction,"By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms. Metaphysical & Visionary Fiction Paulo Coelho"
Me Before You,Jojo Moyes,4.6,27040.0,827,"Romantic, poignant and endearingly honest throughout, Me Before You is the bittersweet tale of an unusual but powerful love. Often funny, sometimes bitterly sad, it won't leave you the same person you were when you began.",16 hours and 37 minutes,",#1,293 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#10 in Romantic Comedy,#22 in Women's Fiction,#31 in Contemporary Romance (Audible Audiobooks & Originals)",997,"['Romantic Comedy', ""Women's Fiction""]",Romantic Comedy,"Romantic, poignant and endearingly honest throughout, Me Before You is the bittersweet tale of an unusual but powerful love. Often funny, sometimes bitterly sad, it won't leave you the same person you were when you began. Romantic Comedy Jojo Moyes"
Inferno,Dan Brown,4.4,26244.0,1093,"Harvard symbologist Robert Langdon wakes up in Florence disoriented and confused. He doesn't remember how he got there. But in an international mystery that takes him across Europe to save the world from a terrifying fate, he must decipher codes hidden in Renaissance artworks with only a few lines from Dante's Inferno to guide him.",17 hours and 12 minutes,",#2,108 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#73 in Suspense,#494 in Literature & Fiction (Audible Audiobooks & Originals),#3,126 in Crime, Thriller & Mystery (Books)",1032,['Suspense'],Suspense,"Harvard symbologist Robert Langdon wakes up in Florence disoriented and confused. He doesn't remember how he got there. But in an international mystery that takes him across Europe to save the world from a terrifying fate, he must decipher codes hidden in Renaissance artworks with only a few lines from Dante's Inferno to guide him. Suspense Dan Brown"
"Outlander: Outlander, Book 1",Diana Gabaldon,4.6,22631.0,1172,"In 1945, former combat nurse Claire Randall returns from World War II and joins her husband for a second honeymoon. Their blissful reunion is shattered when she touches a boulder in an ancient stone ruin and is instantly transported to 1743 Scotland, a place torn by war and raiding border clans. Will Claire find her way back to her own time, or is her destiny forever linked with Clan MacKenzie and the gallant James Fraser?",32 hours and 38 minutes,",#4,114 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#10 in Historical Fantasy,#13 in Fantasy Romance,#19 in Contemporary Fantasy",1958,"['Historical Fantasy', 'Fantasy Romance', 'Contemporary Fantasy']",Historical Fantasy,"In 1945, former combat nurse Claire Randall returns from World War II and joins her husband for a second honeymoon. Their blissful reunion is shattered when she touches a boulder in an ancient stone ruin and is instantly transported to 1743 Scotland, a place torn by war and raiding border clans. Will Claire find her way back to her own time, or is her destiny forever linked with Clan MacKenzie and Historical Fantasy Diana Gabaldon"
Think and Grow Rich,Napoleon Hill,4.5,22448.0,166,"By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",10 hours and 15 minutes,",#38 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Economics (Audible Audiobooks & Originals),#2 in Business Motivation & Self-Improvement,#10 in Economics Books",615,"['Business Motivation & Self-Improvement', 'Economics Books']",Business Motivation & Self-Improvement,"By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms. Business Motivation & Self-Improvement Napoleon Hill"
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,22123.0,837,Rich Dad Poor Dad will….,6 hours and 9 minutes,",#9 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Personal Finance,#2 in Investing & Trading,#39 in Personal Development & Self-Help",369,"['Personal Finance', 'Investing & Trading', 'Personal Development & Self-Help']",Personal Finance,Rich Dad Poor Dad will…. Personal Finance Robert T. Kiyosaki
How to Win Friends and Influence People,Dale Carnegie,4.5,21000.0,668,"How to Win Friends and Influence People is a self-help book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and re-printed several times.",8 hours and 5 minutes,",#18 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Communication & Social Skills,#76 in Personal Development & Self-Help",485,"['Communication & Social Skills', 'Personal Development & Self-Help']",Communication & Social Skills,"How to Win Friends and Influence People is a self-help book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and re-printed several times. Communication & Social Skills Dale Carnegie"
Fifty Shades Darker: Book Two of the Fifty Shades Trilogy,E. L. James,4.3,20842.0,1093,"For all those who loved Fifty Shades of Grey, the second instalment will have you no less enthralled. Immerse yourself once again in E.L. James' sinfully debauched world.",19 hours and 49 minutes,",#2,724 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#69 in Women's Fiction,#92 in Contemporary Romance (Audible Audiobooks & Originals),#5,160 in Contemporary Fiction (Books)",1189,"[""Women's Fiction""]",Women's Fiction,"For all those who loved Fifty Shades of Grey, the second instalment will have you no less enthralled. Immerse yourself once again in E.L. James' sinfully debauched world. Women's Fiction E. L. James"
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4,20306.0,10378,"In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people.",5 hours and 17 minutes,",#3 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Personal Success,#16 in Personal Development & Self-Help",317,"['Personal Success', 'Personal Development & Self-Help']",Personal Success,"In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people. Personal Success Mark Manson"
The Hunger Games: Special Edition,Suzanne Collins,4.7,20196.0,656,Emmy Award-winning actress Tatiana Maslany narrates a brand-new special edition recording of the first audiobook in the worldwide best-selling trilogy from Suzanne Collins!,-1,-1,0,[],Other,Emmy Award-winning actress Tatiana Maslany narrates a brand-new special edition recording of the first audiobook in the worldwide best-selling trilogy from Suzanne Collins! Other Suzanne Collins
Sapiens,Yuval Noah Harari,4.6,20163.0,1093,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly.,15 hours and 18 minutes,",#4 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Anthropology (Audible Audiobooks & Originals),#1 in History of Civilization,#2 in Anthropology (Books)",918,"['History of Civilization', 'Anthropology (Books)']",History of Civilization,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly. History of Civilization Yuval Noah Harari
To Kill a Mockingbird,Harper Lee,4.5,20053.0,888,Brought to you by Penguin.,-1,-1,0,[],Other,Brought to you by Penguin. Other Harper Lee
Educated,Tara Westover,4.7,19643.0,888,Brought to you by Penguin.,12 hours and 10 minutes,",#107 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Relationships,#2 in Women Biographies,#48 in Family & Relationships",730,"['Relationships', 'Women Biographies', 'Family & Relationships']",Relationships,Brought to you by Penguin. Relationships Tara Westover
"The Life-Changing Magic of Tidying: A Simple, Effective Way to Banish Clutter Forever",Marie Kondo,4.5,19210.0,615,Transform your home into a permanently clear and clutter-free space with the incredible KonMari Method. Japan's expert declutterer and professional cleaner Marie Kondo will help you tidy your rooms once and for all with her inspirational step-by-step method.,4 hours and 39 minutes,",#313 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Cleaning & Organising,#5 in Home & House Maintenance,#7 in Stress Management",279,"['Cleaning & Organising', 'Home & House Maintenance', 'Stress Management']",Cleaning & Organising,Transform your home into a permanently clear and clutter-free space with the incredible KonMari Method. Japan's expert declutterer and professional cleaner Marie Kondo will help you tidy your rooms once and for all with her inspirational step-by-step method. Cleaning & Organising Marie Kondo
Eleanor Oliphant Is Completely Fine,Gail Honeyman,4.5,19041.0,10080,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,0,[],Other,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies. Other Gail Honeyman"
"Mockingjay: The Hunger Games, Book 3",Suzanne Collins,4.5,18725.0,656,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping",-1,-1,0,[],Other,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping Other Suzanne Collins"
The Power of Your Subconscious Mind,Joseph Murphy,4.5,18381.0,99,"""The Power of Your Subconscious Mind"" will open a world of success, happiness, prosperity, and peace for you. It is one of the most brilliant and beloved spiritual self-help works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. The techniques are simple and results come quickly. You can improve your relationships, your finances, your physical well-being.",7 hours and 13 minutes,",#30 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in New Thought Spirituality,#11 in Personal Success,#52 in Mind, Body & Spirit",433,"['New Thought Spirituality', 'Personal Success', 'Mind']",New Thought Spirituality,"""The Power of Your Subconscious Mind"" will open a world of success, happiness, prosperity, and peace for you. It is one of the most brilliant and beloved spiritual self-help works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. The techniques are simple and results come quickly. You can improve your relationships, you New Thought Spirituality Joseph Murphy"
Big Little Lies,Liane Moriarty,4.6,18129.0,930,Originally published as Little Lies.,15 hours and 55 minutes,",#2,129 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#31 in Family Life Fiction,#51 in Women's Fiction,#71 in Mysteries",955,"['Family Life Fiction', ""Women's Fiction"", 'Mysteries']",Family Life Fiction,Originally published as Little Lies. Family Life Fiction Liane Moriarty
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy,E. L. James,4.4,17597.0,1093,"In the final instalment of the trilogy that has left a whole generation breathless, E. L. James brings the fiery story of Christian and Ana to a truly thrilling crescendo.",20 hours and 59 minutes,",#2,094 in Romance (Books)",1259,[],Other,"In the final instalment of the trilogy that has left a whole generation breathless, E. L. James brings the fiery story of Christian and Ana to a truly thrilling crescendo. Other E. L. James"
The Tattooist of Auschwitz,Heather Morris,4.7,17578.0,1328,"The Tattooist of Auschwitz is based on the true story of Lale and Gita Sokolov, two Slovakian Jews who survived Auschwitz and eventually made their home in Australia. In that terrible place, Lale was given the job of tattooing the prisoners marked for survival - literally scratching numbers into his fellow victims' arms in indelible ink to create what would become one of the most potent symbols of the Holocaust. Lale used the infinitesimal freedom of movement that this position awarded him to exchange jewels and money taken from murdered Jews for food to keep others alive. If he had been caught, he would have been killed; many owed him their survival.",7 hours and 26 minutes,",#437 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Jewish Literature,#3 in War & Military Fiction,#12 in Historical Fiction (Audible Audiobooks & Originals)",446,"['Jewish Literature', 'War & Military Fiction']",Jewish Literature,"The Tattooist of Auschwitz is based on the true story of Lale and Gita Sokolov, two Slovakian Jews who survived Auschwitz and eventually made their home in Australia. In that terrible place, Lale was given the job of tattooing the prisoners marked for survival - literally scratching numbers into his fellow victims' arms in indelible ink to create what would become one of the most potent symbols of Jewish Literature Heather Morris"
Ready Player One,Ernest Cline,4.6,17237.0,1093,Brought to you by Penguin.,15 hours and 40 minutes,",#494 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Cyberpunk Science Fiction,#2 in Adventure Science Fiction,#93 in Science Fiction (Books)",940,"['Cyberpunk Science Fiction', 'Adventure Science Fiction', 'Science Fiction (Books)']",Cyberpunk Science Fiction,Brought to you by Penguin. Cyberpunk Science Fiction Ernest Cline
1984,George Orwell,4.5,17140.0,797,"George Orwell's nightmare vision of a dystopian world has become more apt in these modern, chaotic times. Casting a pall of oppressive dread from the very first sentence, this classic audiobook takes hold of your imagination and stays with you long after the last four words are uttered.",12 hours and 19 minutes,",#130 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Dystopian Science Fiction,#1 in Political Fiction,#4 in Literary Fiction",739,"['Dystopian Science Fiction', 'Political Fiction', 'Literary Fiction']",Dystopian Science Fiction,"George Orwell's nightmare vision of a dystopian world has become more apt in these modern, chaotic times. Casting a pall of oppressive dread from the very first sentence, this classic audiobook takes hold of your imagination and stays with you long after the last four words are uttered. Dystopian Science Fiction George Orwell"
Wonder,R J Palacio,4.7,17041.0,888,"Soon to be a major film starring Julia Roberts, Owen Wilson and Jacob Tremblay.",8 hours and 5 minutes,",#3,288 in Children's Literature & Fiction (Books)",485,[],Other,"Soon to be a major film starring Julia Roberts, Owen Wilson and Jacob Tremblay. Other R J Palacio"
The Five Love Languages: The Secret to Love That Lasts,Gary Chapman,4.8,16390.0,656,"Dr. Gary Chapman identifies five basic languages of love and then guides couples towards a better understanding of their unique languages of love. Learn to speak and understand your mate's love language, and in no time you will be able to effectively love and truly feel loved in return. Skillful communication is within your grasp!",4 hours and 46 minutes,",#527 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Christian Marriage & Relationships,#1 in Marriage,#4 in Love & Romance",286,"['Christian Marriage & Relationships', 'Marriage', 'Love & Romance']",Christian Marriage & Relationships,"Dr. Gary Chapman identifies five basic languages of love and then guides couples towards a better understanding of their unique languages of love. Learn to speak and understand your mate's love language, and in no time you will be able to effectively love and truly feel loved in return. Skillful communication is within your grasp! Christian Marriage & Relationships Gary Chapman"
A Gentleman in Moscow,Amor Towles,4.6,16358.0,873,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping",-1,-1,0,[],Other,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping Other Amor Towles"
Origin,Dan Brown,4.2,16175.0,1093,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,0,[],Other,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies. Other Dan Brown"
"Catching Fire: The Hunger Games, Book 2",Suzanne Collins,4.7,15953.0,656,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping",-1,-1,0,[],Other,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping Other Suzanne Collins"
The Handmaid's Tale,Margaret Atwood,4.4,15741.0,1093,Brought to you by Penguin.,11 hours and 22 minutes,",#685 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Dystopian Science Fiction,#38 in Classic Literature,#44 in Literary Fiction",682,"['Dystopian Science Fiction', 'Classic Literature', 'Literary Fiction']",Dystopian Science Fiction,Brought to you by Penguin. Dystopian Science Fiction Margaret Atwood
The Rosie Project,Graeme Simsion,4.5,14556.0,888,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping",-1,-1,0,[],Other,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping Other Graeme Simsion"
Becoming,Michelle Obama,4.6,13941.0,1093,Penguin presents the audiobook edition of Becoming by Michelle Obama.,19 hours and 3 minutes,",#12 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Women Biographies,#13 in Biographies & Autobiographies (Books)",1143,"['Women Biographies', 'Biographies & Autobiographies (Books)']",Women Biographies,Penguin presents the audiobook edition of Becoming by Michelle Obama. Women Biographies Michelle Obama
Wild,Cheryl Strayed,4.4,13808.0,748,"A powerful, blazingly honest memoir: the story of an 1100-mile solo hike that broke down a young woman reeling from catastrophe and built her back up again. At 22, Cheryl Strayed thought she had lost everything. After her mother's death, her family scattered and her own marriage was destroyed. Four years later, with nothing more to lose, she decided to hike the Pacific Crest Trail from the Mojave Desert through California and Oregon to Washington State - alone. She had no experience as a long-distance hiker, and the trail was little more than an idea: vague, outlandish, and full of promise. But it was a promise of piecing together a life that had come undone. Strayed faces rattlesnakes and bears, intense heat and record snowfalls, and both the beauty and intense loneliness of the trail.",12 hours and 59 minutes,",#3,496 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#7 in Grief & Loss,#17 in Travel & Tourism (Audible Audiobooks & Originals),#22 in Women Biographies",779,"['Grief & Loss', 'Women Biographies']",Grief & Loss,"A powerful, blazingly honest memoir: the story of an 1100-mile solo hike that broke down a young woman reeling from catastrophe and built her back up again. At 22, Cheryl Strayed thought she had lost everything. After her mother's death, her family scattered and her own marriage was destroyed. Four years later, with nothing more to lose, she decided to hike the Pacific Crest Trail from the Mojave  Grief & Loss Cheryl Strayed"
I Am Pilgrim,Terry Hayes,4.6,13297.0,1093,National Book Awards 2014: Crime/Thriller Book of the Year,-1,-1,0,[],Other,National Book Awards 2014: Crime/Thriller Book of the Year Other Terry Hayes
Man's Search for Meaning,Viktor E. Frankl,4.4,12997.0,468,"Internationally renowned psychiatrist, Viktor E. Frankl, endured years of unspeakable horror in Nazi death camps. During, and partly because of, his suffering, Dr. Frankl developed a revolutionary approach to psychotherapy known as logotherapy. At the core of his theory is the belief that man's primary motivational force is his search for meaning.",4 hours and 44 minutes,",#96 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#6 in Philosophy (Audible Audiobooks & Originals),#7 in Holocaust,#1,058 in Textbooks & Study Guides",284,['Holocaust'],Holocaust,"Internationally renowned psychiatrist, Viktor E. Frankl, endured years of unspeakable horror in Nazi death camps. During, and partly because of, his suffering, Dr. Frankl developed a revolutionary approach to psychotherapy known as logotherapy. At the core of his theory is the belief that man's primary motivational force is his search for meaning. Holocaust Viktor E. Frankl"
A Game of Thrones: Book 1 of A Song of Ice and Fire,George R. R. Martin,4.7,12923.0,18149,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,0,[],Other,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies. Other George R. R. Martin"
"The Girl in the Spider's Web: Continuing Stieg Larsson's Dragon Tattoo Series, Book 4",David Lagercrantz,4.0,12746.0,873,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping",-1,-1,0,[],Other,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping Other David Lagercrantz"
The Four Agreements,don Miguel Ruiz,4.6,12634.0,501,"Don Miguel Ruiz has dedicated his life to sharing the wisdom of the ancient Toltec. For more than two decades, he has guided others toward their personal freedom. Today, he continues to combine his unique blend of ancient wisdom and modern-day awareness through journeys to sacred sites around the world.",2 hours and 31 minutes,",#627 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#7 in Other Religions, Practices & Sacred Texts,#117 in Personal Success,#645 in Mind, Body & Spirit",151,"['Other Religions', 'Personal Success', 'Mind']",Other Religions,"Don Miguel Ruiz has dedicated his life to sharing the wisdom of the ancient Toltec. For more than two decades, he has guided others toward their personal freedom. Today, he continues to combine his unique blend of ancient wisdom and modern-day awareness through journeys to sacred sites around the world. Other Religions don Miguel Ruiz"
The Hobbit (Dramatised),J. R. R. Tolkien,4.7,12297.0,615,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,0,[],Other,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies. Other J. R. R. Tolkien"
Memory Man,David Baldacci,4.5,12149.0,323,"The next novel from the best-selling crime author David Baldacci. Amos Decker is a former professional football player whose career was ended by a terrible hit. Now a police detective, Amos is still haunted by a side effect from the accident he can never forget.",13 hours and 16 minutes,",#2,604 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Private Investigator Mysteries,#7 in Police Procedural Mysteries,#12 in International Mystery & Crime",796,"['Private Investigator Mysteries', 'Police Procedural Mysteries', 'International Mystery & Crime']",Private Investigator Mysteries,"The next novel from the best-selling crime author David Baldacci. Amos Decker is a former professional football player whose career was ended by a terrible hit. Now a police detective, Amos is still haunted by a side effect from the accident he can never forget. Private Investigator Mysteries David Baldacci"
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,4.7,11978.0,999,"""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'.""",9 hours and 33 minutes,",#29 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Family Life Fiction for Children,#1 in Fantasy & Magic for Children,#1 in Fiction on Friendship for Children",573,"['Family Life Fiction for Children', 'Fantasy & Magic for Children', 'Fiction on Friendship for Children']",Family Life Fiction for Children,"""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'."" Family Life Fiction for Children J.K. Rowling"
When Breath Becomes Air,Paul Kalanithi,4.6,11526.0,615,"Tackling the agonizing transition from skilled surgeon to bewildered patient, When Breath Becomes Air is an unflinching account of what it means to be betrayed by the body you devoted your life to understanding.",5 hours and 35 minutes,",#123 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Sociology of Death & Dying,#1 in Grief & Loss,#1 in Cancer",335,"['Sociology of Death & Dying', 'Grief & Loss', 'Cancer']",Sociology of Death & Dying,"Tackling the agonizing transition from skilled surgeon to bewildered patient, When Breath Becomes Air is an unflinching account of what it means to be betrayed by the body you devoted your life to understanding. Sociology of Death & Dying Paul Kalanithi"
The Woman in the Window,A. J. Finn,4.3,11498.0,8735,What did she see?,13 hours and 42 minutes,",#1,647 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#8 in Urban Fiction,#9 in Amateur Sleuth Mysteries,#26 in Psychological Thrillers",822,"['Urban Fiction', 'Amateur Sleuth Mysteries', 'Psychological Thrillers']",Urban Fiction,What did she see? Urban Fiction A. J. Finn
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,11336.0,836,"For David Goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a US Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force Tactical Air Controller, he went on to set records in numerous endurance events, inspiring Outside magazine to name him The Fittest (Real) Man in America.",13 hours and 37 minutes,",#35 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#7 in Biographies & Memoirs (Audible Audiobooks & Originals),#13 in Personal Success,#44 in Biographies & Autobiographies (Books)",817,"['Personal Success', 'Biographies & Autobiographies (Books)']",Personal Success,"For David Goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a US Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as  Personal Success David Goggins"
And the Mountains Echoed,Khaled Hosseini,4.3,10978.0,836,An unforgettable novel about finding a lost piece of yourself in someone else.,14 hours,",#2,249 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#33 in Family Life Fiction,#139 in Literary Fiction,#3,465 in Crime, Thriller & Mystery (Books)",840,"['Family Life Fiction', 'Literary Fiction']",Family Life Fiction,An unforgettable novel about finding a lost piece of yourself in someone else. Family Life Fiction Khaled Hosseini
Animal Farm,George Orwell,4.6,10848.0,645,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,0,[],Other,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies. Other George Orwell"
